ford-tatp, 1, 8, 0.517, 0.388, 8.744, 57.060, 0.249, 3.347, 1.730
ford-tatp, 8, 8, 2.635, 1.973, 13.171, 84.720, 0.251, 3.359, 8.852
ford-tatp, 16, 8, 4.366, 3.264, 14.947, 96.384, 0.252, 3.374, 14.733
ford-tatp, 24, 8, 6.028, 4.501, 16.102, 104.857, 0.253, 3.393, 20.450
ford-tatp, 32, 8, 5.770, 4.305, 21.639, 146.117, 0.254, 3.411, 19.680
ford-tatp, 40, 8, 5.306, 3.955, 27.280, 207.407, 0.255, 3.428, 18.188
ford-tatp, 48, 8, 6.236, 4.644, 28.194, 198.060, 0.255, 3.446, 21.490
ford-tatp, 56, 8, 3.751, 2.792, 40.172, 461.429, 0.256, 3.467, 13.003
ford-tatp, 64, 8, 4.371, 3.250, 50.852, 465.275, 0.256, 3.483, 15.222
ford-tatp, 72, 8, 4.315, 3.206, 52.431, 478.620, 0.257, 3.502, 15.110
ford-tatp, 80, 8, 3.293, 2.446, 76.774, 764.524, 0.257, 3.524, 11.604
ford-tatp, 88, 8, 2.545, 1.890, 93.692, 1162.099, 0.257, 3.546, 9.025
ford-tatp, 96, 8, 2.913, 2.160, 94.150, 913.137, 0.258, 3.558, 10.363
dtx-tatp, 1, 8, 0.495, 0.370, 7.899, 60.767, 0.251, 3.324, 1.644
dtx-tatp, 8, 8, 2.631, 1.967, 11.314, 84.630, 0.252, 3.350, 8.814
dtx-tatp, 16, 8, 4.623, 3.453, 12.671, 92.003, 0.253, 3.369, 15.575
dtx-tatp, 24, 8, 6.151, 4.590, 13.719, 99.926, 0.254, 3.389, 20.843
dtx-tatp, 32, 8, 7.389, 5.510, 15.851, 117.565, 0.254, 3.409, 25.187
dtx-tatp, 40, 8, 8.023, 5.978, 19.350, 141.899, 0.255, 3.427, 27.498
dtx-tatp, 48, 8, 8.056, 5.998, 21.711, 202.700, 0.256, 3.458, 27.860
dtx-tatp, 56, 8, 8.215, 6.111, 24.577, 221.541, 0.256, 3.471, 28.517
dtx-tatp, 64, 8, 8.709, 6.474, 29.267, 221.081, 0.257, 3.486, 30.360
dtx-tatp, 72, 8, 8.955, 6.653, 32.926, 249.228, 0.257, 3.507, 31.401
dtx-tatp, 80, 8, 9.022, 6.696, 36.710, 278.236, 0.258, 3.524, 31.796
dtx-tatp, 88, 8, 8.946, 6.634, 41.079, 309.086, 0.258, 3.543, 31.695
dtx-tatp, 96, 8, 8.782, 6.504, 40.491, 728.653, 0.259, 3.631, 31.890
