ford-smallbank, 96, 8, 1.176, 0.893, 453.584, 1536.131, 0.241, 12.935, 15.215
ford-smallbank, 96, 8, 1.223, 0.939, 385.309, 1307.117, 0.232, 13.036, 15.938
ford-smallbank, 96, 8, 1.182, 0.913, 380.472, 1245.651, 0.228, 13.085, 15.470
ford-smallbank, 96, 8, 1.242, 0.963, 368.263, 1288.006, 0.225, 13.123, 16.297
ford-smallbank, 96, 8, 1.304, 1.028, 246.559, 1271.028, 0.212, 13.296, 17.341
ford-smallbank, 96, 8, 1.141, 0.915, 198.076, 1116.707, 0.197, 13.474, 15.370
ford-smallbank, 96, 8, 1.491, 1.264, 33.617, 158.092, 0.152, 14.038, 20.937
ford-smallbank, 96, 8, 0.845, 0.722, 23.443, 54.536, 0.145, 14.129, 11.932
ford-smallbank, 96, 8, 0.429, 0.367, 21.236, 43.116, 0.143, 14.156, 6.067
ford-smallbank, 96, 8, 0.216, 0.185, 20.587, 39.874, 0.142, 14.163, 3.052
ford-smallbank, 96, 8, 0.108, 0.093, 20.942, 39.877, 0.142, 14.162, 1.531
dtx-smallbank, 96, 8, 6.122, 4.541, 137.484, 287.923, 0.258, 12.712, 77.822
dtx-smallbank, 96, 8, 6.006, 4.585, 107.992, 269.219, 0.237, 12.974, 77.925
dtx-smallbank, 96, 8, 5.759, 4.454, 96.605, 249.525, 0.227, 13.101, 75.452
dtx-smallbank, 96, 8, 5.235, 4.137, 79.752, 203.970, 0.210, 13.311, 69.686
dtx-smallbank, 96, 8, 4.060, 3.279, 68.907, 167.693, 0.192, 13.528, 54.925
dtx-smallbank, 96, 8, 2.648, 2.179, 60.798, 138.550, 0.177, 13.716, 36.325
dtx-smallbank, 96, 8, 1.557, 1.313, 32.836, 108.256, 0.156, 13.982, 21.766
dtx-smallbank, 96, 8, 0.845, 0.722, 23.520, 56.947, 0.146, 14.119, 11.931
dtx-smallbank, 96, 8, 0.429, 0.368, 20.034, 42.344, 0.143, 14.150, 6.072
dtx-smallbank, 96, 8, 0.216, 0.185, 19.726, 42.678, 0.143, 14.159, 3.056
dtx-smallbank, 96, 8, 0.108, 0.093, 19.137, 40.688, 0.142, 14.163, 1.533
